ASSIGNMENT_ID,EXERCISE_ID,FINISHED_AT
14,4,2017/5/25 4:23
14,5,2017/5/25 21:30
14,6,2017/5/26 14:38
14,7,NULL
14,8,NULL
14,9,NULL
14,10,NULL
14,11,NULL
14,12,NULL
15,1,2017/5/23 18:00
15,2,2017/5/24 9:35
15,3,2017/5/25 1:10
15,4,NULL
15,5,NULL
15,6,NULL
15,7,NULL
15,8,NULL
15,9,NULL
15,10,NULL
15,11,NULL
15,12,NULL
16,1,2017/5/29 15:14
16,2,NULL
16,3,NULL
16,4,NULL
16,5,NULL
16,6,NULL
16,7,NULL
16,8,NULL
16,9,NULL
16,10,NULL
16,11,NULL
16,12,NULL
17,1,2017/5/18 17:38
17,2,2017/5/19 20:09
17,3,2017/5/20 22:40
17,4,2017/5/22 1:11
17,5,2017/5/23 3:43
17,6,2017/5/24 6:14
17,7,2017/5/25 8:45
17,8,2017/5/26 11:17
17,9,2017/5/27 13:48
17,10,2017/5/28 16:19
17,11,2017/5/29 18:51
17,12,2017/5/30 21:22
18,1,2017/5/21 12:34
18,2,2017/5/22 9:01
18,3,2017/5/23 5:27
18,4,2017/5/24 1:53
18,5,2017/5/24 22:19
18,6,NULL
18,7,NULL
18,8,NULL
18,9,NULL
18,10,NULL
18,11,NULL
18,12,NULL
19,1,2017/5/21 14:42
19,2,2017/5/22 10:57
19,3,2017/5/23 7:11
19,4,2017/5/24 3:26
19,5,2017/5/24 23:40
19,6,2017/5/25 19:55
19,7,2017/5/26 16:09
19,8,2017/5/27 12:24
19,9,NULL
19,10,NULL
19,11,NULL
19,12,NULL
20,1,2017/5/22 6:56
20,2,2017/5/23 1:42
20,3,2017/5/23 20:28
20,4,2017/5/24 15:14
20,5,2017/5/25 10:00
20,6,2017/5/26 4:46
20,7,2017/5/26 23:32
20,8,2017/5/27 18:18
20,9,2017/5/28 13:04
20,10,NULL
20,11,NULL
20,12,NULL
21,1,2017/5/29 22:05
21,2,2017/5/30 0:12
21,3,NULL
21,4,NULL
21,5,NULL
21,6,NULL
21,7,NULL
21,8,NULL
21,9,NULL
21,10,NULL
21,11,NULL
21,12,NULL
22,1,2017/5/27 4:01
22,2,2017/5/27 12:09
22,3,2017/5/27 20:16
22,4,2017/5/28 4:23
22,5,2017/5/28 12:31
22,6,2017/5/28 20:38
22,7,2017/5/29 4:45
22,8,2017/5/29 12:53
22,9,2017/5/29 21:00
22,10,2017/5/30 5:07
22,11,NULL
22,12,NULL
23,1,2017/5/26 4:13
23,2,2017/5/26 14:30
23,3,2017/5/27 0:47
23,4,2017/5/27 11:04
23,5,2017/5/27 21:22
23,6,2017/5/28 7:39
23,7,NULL
23,8,NULL
23,9,NULL
23,10,NULL
23,11,NULL
23,12,NULL
24,1,2017/5/28 23:17
24,2,2017/5/29 3:28
24,3,NULL
24,4,NULL
24,5,NULL
24,6,NULL
24,7,NULL
24,8,NULL
24,9,NULL
24,10,NULL
24,11,NULL
24,12,NULL
25,1,2017/5/20 9:11
25,2,2017/5/21 8:06
25,3,2017/5/22 7:02
25,4,2017/5/23 5:57
25,5,2017/5/24 4:53
25,6,2017/5/25 3:49
25,7,2017/5/26 2:44
25,8,2017/5/27 1:40
25,9,2017/5/28 0:35
25,10,2017/5/28 23:31
25,11,NULL
25,12,NULL
26,1,2017/5/20 20:01
26,2,2017/5/21 17:57
26,3,2017/5/22 15:54
26,4,2017/5/23 13:50
26,5,2017/5/24 11:47
26,6,2017/5/25 9:43
26,7,2017/5/26 7:40
26,8,2017/5/27 5:36
26,9,NULL
26,10,NULL
26,11,NULL
26,12,NULL
27,1,2017/5/18 23:17
27,2,2017/5/20 1:17
27,3,2017/5/21 3:18
27,4,NULL
27,5,NULL
27,6,NULL
27,7,NULL
27,8,NULL
27,9,NULL
27,10,NULL
27,11,NULL
27,12,NULL
28,1,2017/5/21 1:59
28,2,2017/5/21 23:23
28,3,2017/5/22 20:47
28,4,2017/5/23 18:11
28,5,2017/5/24 15:35
28,6,2017/5/25 12:59
28,7,2017/5/26 10:23
28,8,2017/5/27 7:46
28,9,2017/5/28 5:10
28,10,NULL
28,11,NULL
28,12,NULL
29,1,2017/5/26 5:01
29,2,2017/5/26 15:14
29,3,2017/5/27 1:26
29,4,2017/5/27 11:39
29,5,2017/5/27 21:52
29,6,2017/5/28 8:05
29,7,2017/5/28 18:18
29,8,2017/5/29 4:31
29,9,2017/5/29 14:44
29,10,NULL
29,11,NULL
29,12,NULL
30,1,2017/5/25 11:28
30,2,2017/5/25 23:16
30,3,2017/5/26 11:05
30,4,2017/5/26 22:53
30,5,2017/5/27 10:42
30,6,2017/5/27 22:31
30,7,2017/5/28 10:19
30,8,2017/5/28 22:08
30,9,2017/5/29 9:56
30,10,2017/5/29 21:45
30,11,2017/5/30 9:34
30,12,2017/5/30 21:22
31,1,2017/5/23 17:36
31,2,2017/5/24 9:13
31,3,2017/5/25 0:50
31,4,2017/5/25 16:26
31,5,2017/5/26 8:03
31,6,2017/5/26 23:40
31,7,2017/5/27 15:17
31,8,2017/5/28 6:54
31,9,2017/5/28 22:31
31,10,NULL
31,11,NULL
31,12,NULL
32,1,2017/5/23 14:10
32,2,2017/5/24 6:05
32,3,2017/5/24 22:01
32,4,2017/5/25 13:57
32,5,2017/5/26 5:52
32,6,2017/5/26 21:48
32,7,2017/5/27 13:44
32,8,2017/5/28 5:39
32,9,2017/5/28 21:35
32,10,2017/5/29 13:31
32,11,2017/5/30 5:26
32,12,2017/5/30 21:22
33,1,2017/5/21 19:30
33,2,2017/5/22 15:18
33,3,NULL
33,4,NULL
33,5,NULL
33,6,NULL
33,7,NULL
33,8,NULL
33,9,NULL
33,10,NULL
33,11,NULL
33,12,NULL
34,1,2017/5/21 22:16
34,2,2017/5/22 17:50
34,3,2017/5/23 13:23
34,4,2017/5/24 8:56
34,5,NULL
34,6,NULL
34,7,NULL
34,8,NULL
34,9,NULL
34,10,NULL
34,11,NULL
34,12,NULL
35,1,2017/5/30 18:32
35,2,2017/5/30 18:48
35,3,2017/5/30 19:03
35,4,2017/5/30 19:19
35,5,2017/5/30 19:34
35,6,2017/5/30 19:49
35,7,2017/5/30 20:05
35,8,NULL
35,9,NULL
35,10,NULL
35,11,NULL
35,12,NULL
36,1,2017/5/24 3:11
36,2,2017/5/24 17:56
36,3,2017/5/25 8:40
36,4,2017/5/25 23:25
36,5,2017/5/26 14:10
36,6,2017/5/27 4:54
36,7,2017/5/27 19:39
36,8,NULL
36,9,NULL
36,10,NULL
36,11,NULL
36,12,NULL
37,1,2017/5/18 23:24
37,2,2017/5/20 1:23
37,3,2017/5/21 3:23
37,4,2017/5/22 5:23
37,5,2017/5/23 7:23
37,6,2017/5/24 9:23
37,7,2017/5/25 11:23
37,8,NULL
37,9,NULL
37,10,NULL
37,11,NULL
37,12,NULL
38,1,2017/5/24 22:35
38,2,2017/5/25 11:34
38,3,NULL
38,4,NULL
38,5,NULL
38,6,NULL
38,7,NULL
38,8,NULL
38,9,NULL
38,10,NULL
38,11,NULL
38,12,NULL
39,1,2017/5/21 5:16
39,2,2017/5/22 2:22
39,3,2017/5/22 23:28
39,4,2017/5/23 20:34
39,5,2017/5/24 17:40
39,6,2017/5/25 14:46
39,7,NULL
39,8,NULL
39,9,NULL
39,10,NULL
39,11,NULL
39,12,NULL
40,1,2017/5/28 11:38
40,2,2017/5/28 16:53
40,3,2017/5/28 22:08
40,4,2017/5/29 3:23
40,5,2017/5/29 8:38
40,6,2017/5/29 13:52
40,7,NULL
40,8,NULL
40,9,NULL
40,10,NULL
40,11,NULL
40,12,NULL
41,1,2017/5/27 3:39
41,2,2017/5/27 11:49
41,3,2017/5/27 19:58
41,4,2017/5/28 4:07
41,5,2017/5/28 12:17
41,6,2017/5/28 20:26
41,7,2017/5/29 4:35
41,8,2017/5/29 12:45
41,9,2017/5/29 20:54
41,10,NULL
41,11,NULL
41,12,NULL
42,1,2017/5/27 6:31
42,2,2017/5/27 14:25
42,3,2017/5/27 22:18
42,4,2017/5/28 6:12
42,5,NULL
42,6,NULL
42,7,NULL
42,8,NULL
42,9,NULL
42,10,NULL
42,11,NULL
42,12,NULL
43,1,2017/5/25 9:37
43,2,2017/5/25 21:35
43,3,2017/5/26 9:34
43,4,2017/5/26 21:33
43,5,2017/5/27 9:31
43,6,2017/5/27 21:30
43,7,2017/5/28 9:29
43,8,2017/5/28 21:27
43,9,2017/5/29 9:26
43,10,2017/5/29 21:25
43,11,NULL
43,12,NULL
44,1,2017/5/23 3:45
44,2,2017/5/23 20:38
44,3,2017/5/24 13:30
44,4,NULL
44,5,NULL
44,6,NULL
44,7,NULL
44,8,NULL
44,9,NULL
44,10,NULL
44,11,NULL
44,12,NULL
45,1,2017/5/18 23:34
45,2,2017/5/20 1:33
45,3,NULL
45,4,NULL
45,5,NULL
45,6,NULL
45,7,NULL
45,8,NULL
45,9,NULL
45,10,NULL
45,11,NULL
45,12,NULL
46,1,2017/5/18 22:24
46,2,2017/5/20 0:29
46,3,2017/5/21 2:34
46,4,2017/5/22 4:40
46,5,2017/5/23 6:45
46,6,2017/5/24 8:50
46,7,2017/5/25 10:56
46,8,2017/5/26 13:01
46,9,2017/5/27 15:06
46,10,NULL
46,11,NULL
46,12,NULL
47,1,2017/5/23 13:42
47,2,2017/5/24 5:40
47,3,2017/5/24 21:38
47,4,2017/5/25 13:36
47,5,2017/5/26 5:35
47,6,2017/5/26 21:33
47,7,2017/5/27 13:31
47,8,2017/5/28 5:29
47,9,2017/5/28 21:27
47,10,2017/5/29 13:26
47,11,2017/5/30 5:24
47,12,2017/5/30 21:22
48,1,2017/5/25 19:52
48,2,2017/5/26 6:54
48,3,2017/5/26 17:57
48,4,NULL
48,5,NULL
48,6,NULL
48,7,NULL
48,8,NULL
48,9,NULL
48,10,NULL
48,11,NULL
48,12,NULL
49,1,2017/5/29 5:59
49,2,2017/5/29 9:33
49,3,2017/5/29 13:08
49,4,2017/5/29 16:43
49,5,NULL
49,6,NULL
49,7,NULL
49,8,NULL
49,9,NULL
49,10,NULL
49,11,NULL
49,12,NULL
50,1,2017/5/27 22:10
50,2,2017/5/28 4:38
50,3,2017/5/28 11:06
50,4,NULL
50,5,NULL
50,6,NULL
50,7,NULL
50,8,NULL
50,9,NULL
50,10,NULL
50,11,NULL
50,12,NULL
51,1,2017/5/26 5:26
51,2,NULL
51,3,NULL
51,4,NULL
51,5,NULL
51,6,NULL
51,7,NULL
51,8,NULL
51,9,NULL
51,10,NULL
51,11,NULL
51,12,NULL
52,1,2017/5/19 23:14
52,2,2017/5/20 23:04
52,3,2017/5/21 22:54
52,4,2017/5/22 22:44
52,5,NULL
52,6,NULL
52,7,NULL
52,8,NULL
52,9,NULL
52,10,NULL
52,11,NULL
52,12,NULL
53,1,2017/5/27 10:50
53,2,2017/5/27 18:20
53,3,NULL
53,4,NULL
53,5,NULL
53,6,NULL
53,7,NULL
53,8,NULL
53,9,NULL
53,10,NULL
53,11,NULL
53,12,NULL
54,1,2017/5/26 7:27
54,2,2017/5/26 17:27
54,3,2017/5/27 3:26
54,4,2017/5/27 13:26
54,5,2017/5/27 23:25
54,6,2017/5/28 9:25
54,7,2017/5/28 19:24
54,8,2017/5/29 5:24
54,9,2017/5/29 15:24
54,10,NULL
54,11,NULL
54,12,NULL
55,1,2017/5/21 1:18
55,2,2017/5/21 22:46
55,3,2017/5/22 20:13
55,4,2017/5/23 17:41
55,5,2017/5/24 15:09
55,6,NULL
55,7,NULL
55,8,NULL
55,9,NULL
55,10,NULL
55,11,NULL
55,12,NULL
56,1,2017/5/26 17:11
56,2,NULL
56,3,NULL
56,4,NULL
56,5,NULL
56,6,NULL
56,7,NULL
56,8,NULL
56,9,NULL
56,10,NULL
56,11,NULL
56,12,NULL
57,1,2017/5/21 0:44
57,2,2017/5/21 22:15
57,3,2017/5/22 19:46
57,4,2017/5/23 17:16
57,5,NULL
57,6,NULL
57,7,NULL
57,8,NULL
57,9,NULL
57,10,NULL
57,11,NULL
57,12,NULL
58,1,NULL
58,2,NULL
58,3,NULL
58,4,NULL
58,5,NULL
58,6,NULL
58,7,NULL
58,8,NULL
58,9,NULL
58,10,NULL
58,11,NULL
58,12,NULL
59,1,2017/5/23 9:45
59,2,NULL
59,3,NULL
59,4,NULL
59,5,NULL
59,6,NULL
59,7,NULL
59,8,NULL
59,9,NULL
59,10,NULL
59,11,NULL
59,12,NULL
60,1,2017/5/26 12:19
60,2,2017/5/26 21:52
60,3,2017/5/27 7:25
60,4,2017/5/27 16:58
60,5,2017/5/28 2:31
60,6,NULL
60,7,NULL
60,8,NULL
60,9,NULL
60,10,NULL
60,11,NULL
60,12,NULL
61,1,NULL
61,2,NULL
61,3,NULL
61,4,NULL
61,5,NULL
61,6,NULL
61,7,NULL
61,8,NULL
61,9,NULL
61,10,NULL
61,11,NULL
61,12,NULL
62,1,2017/5/27 4:06
62,2,2017/5/27 12:13
62,3,2017/5/27 20:20
62,4,2017/5/28 4:26
62,5,2017/5/28 12:33
62,6,2017/5/28 20:40
62,7,2017/5/29 4:47
62,8,NULL
62,9,NULL
62,10,NULL
62,11,NULL
62,12,NULL
63,1,2017/5/22 20:42
63,2,2017/5/23 14:13
63,3,2017/5/24 7:44
63,4,2017/5/25 1:15
63,5,2017/5/25 18:46
63,6,2017/5/26 12:17
63,7,2017/5/27 5:47
63,8,2017/5/27 23:18
63,9,2017/5/28 16:49
63,10,NULL
63,11,NULL
63,12,NULL
64,1,2017/5/23 20:06
64,2,2017/5/24 11:29
64,3,2017/5/25 2:53
64,4,2017/5/25 18:16
64,5,NULL
64,6,NULL
64,7,NULL
64,8,NULL
64,9,NULL
64,10,NULL
64,11,NULL
64,12,NULL
65,1,2017/5/19 17:38
65,2,2017/5/20 17:59
65,3,2017/5/21 18:19
65,4,2017/5/22 18:39
65,5,2017/5/23 19:00
65,6,2017/5/24 19:20
65,7,2017/5/25 19:40
65,8,2017/5/26 20:01
65,9,2017/5/27 20:21
65,10,NULL
65,11,NULL
65,12,NULL
66,1,2017/5/25 22:21
66,2,2017/5/26 9:11
66,3,2017/5/26 20:00
66,4,2017/5/27 6:49
66,5,2017/5/27 17:38
66,6,2017/5/28 4:27
66,7,2017/5/28 15:16
66,8,2017/5/29 2:06
66,9,2017/5/29 12:55
66,10,2017/5/29 23:44
66,11,NULL
66,12,NULL
67,1,2017/5/26 12:25
67,2,2017/5/26 21:57
67,3,2017/5/27 7:30
67,4,2017/5/27 17:02
67,5,2017/5/28 2:35
67,6,2017/5/28 12:07
67,7,2017/5/28 21:40
67,8,2017/5/29 7:12
67,9,NULL
67,10,NULL
67,11,NULL
67,12,NULL
68,1,2017/5/24 20:09
68,2,2017/5/25 9:21
68,3,2017/5/25 22:33
68,4,2017/5/26 11:45
68,5,2017/5/27 0:57
68,6,2017/5/27 14:09
68,7,2017/5/28 3:22
68,8,2017/5/28 16:34
68,9,2017/5/29 5:46
68,10,NULL
68,11,NULL
68,12,NULL
69,1,2017/5/24 2:09
69,2,2017/5/24 16:59
69,3,2017/5/25 7:49
69,4,2017/5/25 22:40
69,5,2017/5/26 13:30
69,6,NULL
69,7,NULL
69,8,NULL
69,9,NULL
69,10,NULL
69,11,NULL
69,12,NULL
70,1,2017/5/23 19:58
70,2,2017/5/24 11:22
70,3,NULL
70,4,NULL
70,5,NULL
70,6,NULL
70,7,NULL
70,8,NULL
70,9,NULL
70,10,NULL
70,11,NULL
70,12,NULL
71,1,2017/5/28 5:17
71,2,2017/5/28 11:07
71,3,2017/5/28 16:56
71,4,2017/5/28 22:46
71,5,2017/5/29 4:36
71,6,NULL
71,7,NULL
71,8,NULL
71,9,NULL
71,10,NULL
71,11,NULL
71,12,NULL
72,1,2017/5/18 13:14
72,2,2017/5/19 16:09
72,3,2017/5/20 19:05
72,4,2017/5/21 22:00
72,5,2017/5/23 0:55
72,6,2017/5/24 3:51
72,7,2017/5/25 6:46
72,8,2017/5/26 9:41
72,9,2017/5/27 12:36
72,10,2017/5/28 15:32
72,11,2017/5/29 18:27
72,12,NULL
73,1,2017/5/21 0:52
73,2,2017/5/21 22:22
73,3,2017/5/22 19:52
73,4,2017/5/23 17:22
73,5,2017/5/24 14:52
73,6,2017/5/25 12:22
73,7,2017/5/26 9:52
73,8,2017/5/27 7:22
73,9,2017/5/28 4:52
73,10,2017/5/29 2:22
73,11,2017/5/29 23:52
73,12,2017/5/30 21:22
74,1,2017/5/23 9:10
74,2,2017/5/24 1:33
74,3,2017/5/24 17:56
74,4,2017/5/25 10:19
74,5,2017/5/26 2:42
74,6,NULL
74,7,NULL
74,8,NULL
74,9,NULL
74,10,NULL
74,11,NULL
74,12,NULL
75,1,2017/5/23 9:41
75,2,2017/5/24 2:01
75,3,2017/5/24 18:21
75,4,2017/5/25 10:41
75,5,2017/5/26 3:01
75,6,2017/5/26 19:22
75,7,2017/5/27 11:42
75,8,2017/5/28 4:02
75,9,2017/5/28 20:22
75,10,2017/5/29 12:42
75,11,2017/5/30 5:02
75,12,2017/5/30 21:22
76,1,2017/5/18 4:43
76,2,2017/5/19 8:25
76,3,2017/5/20 12:06
76,4,2017/5/21 15:48
76,5,2017/5/22 19:30
76,6,2017/5/23 23:12
76,7,2017/5/25 2:53
76,8,NULL
76,9,NULL
76,10,NULL
76,11,NULL
76,12,NULL
77,1,2017/5/22 23:38
77,2,2017/5/23 16:53
77,3,2017/5/24 10:08
77,4,2017/5/25 3:23
77,5,2017/5/25 20:38
77,6,2017/5/26 13:53
77,7,2017/5/27 7:07
77,8,NULL
77,9,NULL
77,10,NULL
77,11,NULL
77,12,NULL
78,1,2017/5/25 15:26
78,2,2017/5/26 2:53
78,3,2017/5/26 14:19
78,4,2017/5/27 1:46
78,5,2017/5/27 13:13
78,6,2017/5/28 0:40
78,7,2017/5/28 12:07
78,8,NULL
78,9,NULL
78,10,NULL
78,11,NULL
78,12,NULL
79,1,2017/5/19 15:57
79,2,2017/5/20 16:27
79,3,2017/5/21 16:56
79,4,2017/5/22 17:26
79,5,NULL
79,6,NULL
79,7,NULL
79,8,NULL
79,9,NULL
79,10,NULL
79,11,NULL
79,12,NULL
80,1,2017/5/28 15:21
80,2,2017/5/28 20:16
80,3,2017/5/29 1:11
80,4,2017/5/29 6:05
80,5,2017/5/29 11:00
80,6,2017/5/29 15:54
80,7,2017/5/29 20:49
80,8,2017/5/30 1:44
80,9,NULL
80,10,NULL
80,11,NULL
80,12,NULL
81,1,NULL
81,2,NULL
81,3,NULL
81,4,NULL
81,5,NULL
81,6,NULL
81,7,NULL
81,8,NULL
81,9,NULL
81,10,NULL
81,11,NULL
81,12,NULL
82,1,2017/5/29 13:26
82,2,2017/5/29 16:20
82,3,2017/5/29 19:14
82,4,2017/5/29 22:08
82,5,2017/5/30 1:02
82,6,2017/5/30 3:57
82,7,2017/5/30 6:51
82,8,NULL
82,9,NULL
82,10,NULL
82,11,NULL
82,12,NULL
83,1,2017/5/26 19:13
83,2,2017/5/27 4:08
83,3,2017/5/27 13:04
83,4,2017/5/27 21:59
83,5,2017/5/28 6:55
83,6,2017/5/28 15:50
83,7,2017/5/29 0:45
83,8,NULL
83,9,NULL
83,10,NULL
83,11,NULL
83,12,NULL
84,1,2017/5/25 23:06
84,2,2017/5/26 9:51
84,3,2017/5/26 20:36
84,4,NULL
84,5,NULL
84,6,NULL
84,7,NULL
84,8,NULL
84,9,NULL
84,10,NULL
84,11,NULL
84,12,NULL
85,1,2017/5/18 10:43
85,2,2017/5/19 13:52
85,3,2017/5/20 17:01
85,4,2017/5/21 20:10
85,5,2017/5/22 23:19
85,6,2017/5/24 2:28
85,7,2017/5/25 5:37
85,8,NULL
85,9,NULL
85,10,NULL
85,11,NULL
85,12,NULL
86,1,2017/5/30 18:16
86,2,2017/5/30 18:33
86,3,2017/5/30 18:50
86,4,2017/5/30 19:07
86,5,2017/5/30 19:24
86,6,2017/5/30 19:41
86,7,2017/5/30 19:57
86,8,2017/5/30 20:14
86,9,2017/5/30 20:31
86,10,NULL
86,11,NULL
86,12,NULL
87,1,2017/5/18 5:03
87,2,2017/5/19 8:43
87,3,2017/5/20 12:23
87,4,NULL
87,5,NULL
87,6,NULL
87,7,NULL
87,8,NULL
87,9,NULL
87,10,NULL
87,11,NULL
87,12,NULL
88,1,2017/5/18 8:44
88,2,2017/5/19 12:04
88,3,2017/5/20 15:24
88,4,2017/5/21 18:44
88,5,2017/5/22 22:04
88,6,2017/5/24 1:23
88,7,NULL
88,8,NULL
88,9,NULL
88,10,NULL
88,11,NULL
88,12,NULL
89,1,2017/5/22 1:25
89,2,2017/5/22 20:41
89,3,2017/5/23 15:57
89,4,2017/5/24 11:13
89,5,2017/5/25 6:29
89,6,2017/5/26 1:45
89,7,2017/5/26 21:01
89,8,2017/5/27 16:18
89,9,2017/5/28 11:34
89,10,2017/5/29 6:50
89,11,2017/5/30 2:06
89,12,2017/5/30 21:22
90,1,2017/5/23 9:00
90,2,2017/5/24 1:23
90,3,2017/5/24 17:47
90,4,2017/5/25 10:11
90,5,NULL
90,6,NULL
90,7,NULL
90,8,NULL
90,9,NULL
90,10,NULL
90,11,NULL
90,12,NULL
91,1,2017/5/26 3:51
91,2,2017/5/26 14:11
91,3,2017/5/27 0:30
91,4,2017/5/27 10:49
91,5,2017/5/27 21:08
91,6,2017/5/28 7:27
91,7,2017/5/28 17:46
91,8,2017/5/29 4:05
91,9,2017/5/29 14:25
91,10,2017/5/30 0:44
91,11,NULL
91,12,NULL
92,1,2017/5/29 19:12
92,2,2017/5/29 21:35
92,3,2017/5/29 23:58
92,4,2017/5/30 2:20
92,5,2017/5/30 4:43
92,6,2017/5/30 7:06
92,7,2017/5/30 9:28
92,8,2017/5/30 11:51
92,9,2017/5/30 14:14
92,10,NULL
92,11,NULL
92,12,NULL
93,1,2017/5/29 22:18
93,2,2017/5/30 0:24
93,3,2017/5/30 2:30
93,4,NULL
93,5,NULL
93,6,NULL
93,7,NULL
93,8,NULL
93,9,NULL
93,10,NULL
93,11,NULL
93,12,NULL
94,1,2017/5/24 0:15
94,2,2017/5/24 15:16
94,3,2017/5/25 6:17
94,4,2017/5/25 21:17
94,5,2017/5/26 12:18
94,6,2017/5/27 3:18
94,7,2017/5/27 18:19
94,8,2017/5/28 9:20
94,9,NULL
94,10,NULL
94,11,NULL
94,12,NULL
95,1,2017/5/30 9:00
95,2,2017/5/30 10:08
95,3,2017/5/30 11:15
95,4,2017/5/30 12:23
95,5,2017/5/30 13:30
95,6,2017/5/30 14:37
95,7,2017/5/30 15:45
95,8,2017/5/30 16:52
95,9,NULL
95,10,NULL
95,11,NULL
95,12,NULL
96,1,2017/5/20 9:05
96,2,NULL
96,3,NULL
96,4,NULL
96,5,NULL
96,6,NULL
96,7,NULL
96,8,NULL
96,9,NULL
96,10,NULL
96,11,NULL
96,12,NULL
97,1,2017/5/26 17:11
97,2,2017/5/27 2:17
97,3,NULL
97,4,NULL
97,5,NULL
97,6,NULL
97,7,NULL
97,8,NULL
97,9,NULL
97,10,NULL
97,11,NULL
97,12,NULL
98,1,2017/5/19 17:11
98,2,2017/5/20 17:34
98,3,2017/5/21 17:57
98,4,2017/5/22 18:20
98,5,2017/5/23 18:42
98,6,2017/5/24 19:05
98,7,2017/5/25 19:28
98,8,2017/5/26 19:51
98,9,2017/5/27 20:14
98,10,2017/5/28 20:36
98,11,2017/5/29 20:59
98,12,2017/5/30 21:22
99,1,2017/5/26 3:41
99,2,NULL
99,3,NULL
99,4,NULL
99,5,NULL
99,6,NULL
99,7,NULL
99,8,NULL
99,9,NULL
99,10,NULL
99,11,NULL
99,12,NULL
100,1,2017/5/24 7:36
100,2,2017/5/24 21:56
100,3,2017/5/25 12:17
100,4,2017/5/26 2:37
100,5,2017/5/26 16:58
100,6,2017/5/27 7:19
100,7,2017/5/27 21:39
100,8,2017/5/28 12:00
100,9,2017/5/29 2:20
100,10,2017/5/29 16:41
